what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed command: monitor MemU32 0x7e00102c  =  0x0000018f",1452726198246
error,log,,,"Failed command: monitor MemU32 0x7e001030  =  0x0000000c",1452726198348
error,log,,,"Failed command: monitor MemU32 0x7e001034  =  0x00000002",1452726198450
error,log,,,"Failed command: monitor MemU32 0x7e001038  =  0x00000002",1452726198552
error,log,,,"Failed command: monitor MemU32 0x7e00103c  =  0x00000002",1452726198654
error,log,,,"Failed command: monitor MemU32 0x7e001040  =  0x00000002",1452726198756
error,log,,,"Failed command: monitor MemU32 0x7e001044  =  0x00000013",1452726198859
error,log,,,"Failed command: monitor MemU32 0x7e001048  =  0x00000013",1452726198962
error,log,,,"Failed command: monitor MemU32 0x7e00100C  =  0x00010012",1452726199065
error,log,,,"Failed command: monitor MemU32 0x7e00104C  =  0x00000b45",1452726199167
error,log,,,"Failed command: monitor MemU32 0x7e001200  =  0x000150f8",1452726199269
error,log,,,"Failed command: monitor MemU32 0x7e001304  =  0x00000000",1452726199371
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000c0000",1452726199473
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00000000",1452726199580
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452726199683
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00040000",1452726199785
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x000a0000",1452726199887
error,log,,,"Failed command: monitor MemU32 0x7e001008  =  0x00080032",1452726199989
error,log,,,"Failed command: monitor MemU32 0x7e001004  =  0x00000000",1452726200091
error,log,,,"Failed command: monitor speed 12000",1452726200396
error,log,,,"Failed command: load",1452726200600
